bieming,daoyan,movie_name,ranking,score,score_num,url
带着心爱的人在天空飞翔。,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...",哈尔的移动城堡,44,8.9,347033,https://movie.douban.com/subject/1308807/
优雅的孤独。,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...",教父2,45,9.1,185797,https://movie.douban.com/subject/1299131/
爱是一切逻辑和原由。,"
                            导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 詹妮弗·...",美丽心灵,46,8.9,303398,https://movie.douban.com/subject/1306029/
承前启后的史诗篇章。,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...",指环王2：双塔奇兵,47,8.9,269323,https://movie.douban.com/subject/1291572/
传说的开始。,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...",指环王1：魔戒再现,48,8.9,300883,https://movie.douban.com/subject/1291571/
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,"
                            导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...",死亡诗社,49,8.9,275530,https://movie.douban.com/subject/1291548/
暗恋的极致。,"
                            导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...",情书,50,8.8,371929,https://movie.douban.com/subject/1292220/
比利·怀德满分作品。,"
                            导演: 比利·怀尔德 Billy Wilder   主演: 查尔斯·劳顿 Charles Laughton / ...",控方证人,51,9.6,85047,https://movie.douban.com/subject/1296141/
法式小清新。 ,"
                            导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...",天使爱美丽,52,8.7,479332,https://movie.douban.com/subject/1292215/
往事如烟，无处祭奠。,"
                            导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...",美国往事,53,9.1,173187,https://movie.douban.com/subject/1292262/
电影的现实意义大过电影本身。,"
                            导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 吴达洙 Dal-su O...",辩护人,54,9.1,198330,https://movie.douban.com/subject/21937445/
音乐能化解仇恨。,"
                            导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...",钢琴家,55,9.0,201356,https://movie.douban.com/subject/1296736/
人生不能像做菜，把所有的料都准备好了才下锅。,"
                            导演: 李安 Ang Lee   主演: 吴倩莲 Chien-lien Wu / 杨贵媚 Kuei-Mei Yang /...",饮食男女,56,9.0,193856,https://movie.douban.com/subject/1291818/
警察抓小偷，老鼠玩死猫。,"
                            导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...",七宗罪,57,8.7,431800,https://movie.douban.com/subject/1292223/
动物版《哈姆雷特》。,"
                            导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...",狮子王,58,8.9,278680,https://movie.douban.com/subject/1301753/
